"1"	"Register"	""	"0"	"250"	"Registration earn 300 GC"	""	"7"	"2016-6-1 00:00:00"	""	"99"	"1"	"2016-6-13 08:58:06"	"2016-6-17 15:39:25"	"1"	"1"	"1"	""	""	""	""	""	""	"0"
"2"	"Referral friends"	""	"0"	"100"	"Referral a friend earn 100 GC"	""	"7"	"2016-6-1 00:00:00"	""	"98"	"1"	"2016-6-13 09:06:39"	"2016-7-12 11:46:45"	"1"	"17885"	"1"	""	""	""	""	""	""	"0"
"3"	"Shopback Promos"	"SHOPBACK300"	"0"	"300"	"Shopback 300"	""	""	"2016-6-18 00:00:00"	"2016-6-30 23:59:59"	"2"	"-1"	"2016-6-13 09:12:38"	"2016-6-17 16:56:47"	"1"	"1"	"1"	""	""	""	""	""	""	"0"
"4"	"BAG WEEKEND PROMOTION"	"BAG100"	"0"	"100"	"women bags promotion, sales, discount"	""	""	"2016-6-25 00:00:00"	"2016-6-26 23:59:59"	"2"	"-1"	"2016-6-24 12:57:34"	"2016-6-24 12:57:34"	"1"	"1"	"1"	""	""	""	""	""	""	"0"
"5"	"shippingFree"	"SHIPPINGFREE"	"0"	"0"	"shippingFree"	""	""	"2016-6-20 00:00:00"	"2016-6-29 23:59:59"	"97"	"1"	"2016-6-22 15:40:42"	"2016-6-22 15:40:42"	"1"	"1"	"1"	""	""	""	""	""	""	"0"
"6"	"kevin test"	"kevin666"	"0"	"10"	"test code"	""	""	"2016-7-1 00:00:00"	"2016-7-1 23:59:59"	"2"	"-1"	"2016-7-1 18:48:54"	"2016-7-1 18:48:54"	"1"	"1"	"1"	""	""	""	""	""	""	"0"
"7"	"Fashion Weekend Sale"	"FASHION100"	"0"	"100"	"Fashion Weekend Sale, Promo, Discount"	""	""	"2016-7-1 00:00:00"	"2016-7-3 23:59:59"	"2"	"-1"	"2016-7-1 18:54:40"	"2016-7-1 20:36:21"	"17885"	"1"	"17885"	""	""	""	""	""	""	"0"
"8"	"50 OFF (min of P500)"	"L50"	"0"	"50"	"Discount"	""	""	"2016-7-8 00:00:00"	"2016-7-10 23:59:59"	"2"	"-1"	"2016-7-7 14:21:01"	"2016-7-7 18:35:54"	"17885"	"17885"	"17885"	""	""	""	""	""	""	"0"
"9"	"100 OFF (min spend of P1000)"	"L100"	"0"	"100"	"Discount"	""	""	"2016-7-8 00:00:00"	"2016-7-10 23:59:59"	"2"	"-1"	"2016-7-7 18:37:52"	"2016-7-7 18:37:52"	"17885"	"17885"	"17885"	""	""	""	""	""	""	"0"
"10"	"150 OFF (min spend of P1500)"	"L150"	"0"	"150"	"Discount"	""	""	"2016-7-8 00:00:00"	"2016-7-10 23:59:59"	"2"	"-1"	"2016-7-7 18:38:46"	"2016-7-7 18:38:46"	"17885"	"17885"	"17885"	""	""	""	""	""	""	"0"
"11"	"PAYDAY SALE"	"PYDY10"	"1"	"10"	"Payday Sale"	""	""	"2016-7-15 00:00:00"	"2016-7-17 23:59:59"	"2"	"-1"	"2016-7-14 11:54:06"	"2016-7-14 20:29:12"	"17885"	"17885"	"17885"	""	""	""	""	""	""	"0"
"12"	"SAVE299"	"SBP1VRB0X"	"0"	"299"	"At least 300 cash off 299"	""	""	"2016-7-19 00:00:00"	"2016-7-19 23:59:59"	"96"	"1"	"2016-7-18 19:38:13"	"2016-7-19 19:40:19"	"17885"	"1"	"103"	""	"0"	"100"	""	""	""	"0"
"13"	"CLEAROUT SALE"	"CLT2016"	"1"	"15"	"Clearout Sale, Discount"	""	"7"	"2016-8-8 00:00:00"	"2016-9-18 23:59:59"	"95"	"1"	"2016-8-8 11:19:10"	"2016-9-30 19:25:59"	"17885"	"34862"	"17885"	""	""	""	"others/160819/-8996817772889490344.jpg"	"others/160819/-8101731365928749981.jpg"	"https://www.goods.ph/clear-out.html"	"0"
"14"	"VIP 4k to 6999"	"SAVEATGOODSPH"	"1"	"20"	"20% OFF, Discount"	""	""	"2016-8-8 00:00:00"	"2016-11-16 23:59:59"	"2"	"0"	"2016-8-8 16:30:15"	"2016-11-17 12:44:54"	"17885"	"17885"	"17885"	""	""	""	""	""	""	"0"
"15"	"VIP 7k and above"	"GOODSVIP"	"1"	"30"	"30% OFF, Discount"	""	""	"2016-8-8 00:00:00"	"2016-11-16 23:59:59"	"2"	"0"	"2016-8-8 16:31:12"	"2016-11-17 12:44:40"	"17885"	"17885"	"17885"	""	""	""	""	""	""	"0"
"16"	"Free Promos"	""	"2"	"0"	"Free Gc"	""	""	"2016-8-8 00:00:00"	""	"94"	"1"	"2016-8-10 21:00:00"	"2016-9-8 15:18:17"	"17885"	"34862"	"1"	""	""	""	""	""	""	"0"
