configId,configKey,configValue,dataType,说明
1,storeTitle,Goods.ph: Most Affordable Online Shopping Store in the Philippines,1,主站页面页头标题内容
2,storeFrontSiteUrl,https://www.goods.ph,1,主站地址
3,storeAdminSiteUrl,http://mgr.goods.ph,1,
4,isAdminApplicationIsolate,FALSE,3,
5,storeFrontInstallationPath,/www/goods_img/,1,主站front的部署目录位置
6,storeKeyWords,,1,主站页面页头关键字
7,storeDescription,"Goods.Ph is the best online shopping store in the Philippines. Shop now for on mobile phones, fashion, home appliances and grocery items at Goods.Ph.",1,主站页面页头meta描述内容
8,defaultCurrencySymbol,P,1,
9,continuouslyFailCountStopImport,500,2,
10,systemAlertInterval,300,2,
11,global.dateTimePattern,yyyy-MM-dd HH:mm:ss,1,
12,global.datePattern,yyyy-MM-dd,1,
13,isOpenFrontOrder,TRUE,3,
14,isAnonymousCheckoutEnabled,FALSE,3,
15,isSupportWrapExpress,FALSE,3,
16,isInvoiceSupported,FALSE,3,
17,minimumPurchaseAmount,1,2,
18,cookieMaxAge,3,2,
22,isAllowSystemRulesWhenUseCoupon,TRUE,3,
23,isShopPointPaymentEnabled,TRUE,3,
24,shopPointPaymentLimitPercentage,100,2,
25,shopPointExchangeRate,10,2,使用积分的转换率
26,isCancelOrderEnabled,TRUE,3,
27,orderCancelDay,2,2,
28,postofficeAccountNo,"123,456,789,011,111",1,
29,postofficePayee,"Guangzhou PROBIZ trade limited company,222",1,
30,bankAccountName,E-Hao Online Trading Corp.,1,
31,bankAccountNo,2240043322,1,
32,bankAccountAddress,BDO,1,
33,weightUnit,kg,1,
34,isRecentViewEnabled,TRUE,3,
35,customerRegisterActiveMode,0,2,
36,validationSessionHours,24,2,
37,isAnonymousNewsSubscriptionEnabled,TRUE,3,
38,isOpenOnlineService,TRUE,3,
39,registrationShopPointAmount,250,2,
40,addReviewFrontMans,30,2,
41,addReviewShopPointAmount,50,2,
42,customerReviewRight,1,2,
43,customerReviewReplyRight,1,2,
44,customerReviewExpiredDays,30,2,
45,customerConsultRight,1,2,
46,customerImportDefaultUserStatus,1,2,
47,customerImportDefaultPassword,888888,2,
48,defaultSystemEmail,inquiry@goods.ph,1,
49,stockAlertRecipientEmail,inquiry@goods.ph,1,
50,customerServiceEmail,inquiry@goods.ph,1,
51,bugReportEmail,inquiry@goods.ph,1,
52,mail.defaultFrom,no-reply@probiz.cn,1,
53,mail.disableQueue,FALSE,3,
54,mail.maxSendTimes,1,2,
55,mail.numOfEmailsPerTime,10,2,
56,mail.retryIntervalSecs,300,2,
57,mail.host,smtp.gmail.com,1,
58,mail.protocol,smtp,1,
59,mail.port,465,2,
60,mail.username,support@goods.ph,1,
61,mail.password,majiapengGOODS,1,
62,mail.defaultEncoding,UTF-8,1,
63,mail.auth,TRUE,3,
64,mail.timeout,300000,2,
65,mail.debug,FALSE,3,
66,mail.daysToKeep,1,2,
67,mail.tlsEnable,TRUE,3,
68,serverSidePageCacheSeconds,0,2,
69,cachableUrls,/noPage.html,1,
70,browserSidePageCacheSeconds,10,2,
71,rs,20160407,1,当前资源生成的最新时间
72,isValidationCodeEnabled,FALSE,3,
73,isRememberMeEnabled,TRUE,3,
74,maxLoginFailTimes,5,2,
75,passwordEncryptionAlgorithm,SHA,1,
76,storeFrontLocale,zh_CN,1,
77,storeAdminLocale,zh_CN,1,
78,storeFrontTheme,default,1,
79,searchServerUrl,,1,
80,isShowWizard,FALSE,3,
81,isAnalyticsDisabled,TRUE,3,
82,analyticsCode,dd or yy or nono,1,
83,isOpenMsgSend,FALSE,3,
84,serialNo,2SDK-EMY-6688-JCUQQ,1,
85,serialNoPassWord,691223,1,
86,smsBatchSendCount,1,2,
87,smsMaxSendTimes,100,2,
88,isOpenFulltextSearch,FALSE,3,
89,isOpenCasService,FALSE,3,
90,casServerUrl,,1,
91,kuaidi100Type,2,2,
92,kuaidi100IdKey,8b160e3ff965b0b7,1,
93,mobileFrontSiteUrl,mobile.goods.ph,1,
94,isOpenTouchWeb,TRUE,3,
95,isPointAndCashtoPay,TRUE,3,
96,isOnlyPointPaymentShow,TRUE,3,
97,isPointAndCashPaymentShow,FALSE,3,
98,isOnlyCashPaymentShow,TRUE,3,
100,storeFrontImgUrl,https://img.goods.ph,2,媒体类文件url地址
101,registrationGiftCertificateAmount,300,2,
102,registrationGiftCertificateExpire,7,2,
103,minimumGiftCertificatePayRemaind,2500,2,礼品卡最小值
104,excludeList,"5,512,013,515,920,820,000,000,000,000,000,000,000,000",1,免运费排除目录配置
105,freeShippingRegionId,82597,1,免运费地区Id
106,freeShippingFeeLimit,999,2,免运费商品消费最低限额
107,dailySalesfreeShipping,0,2,
108,wholeSalesfreeShipping,0,2,
109,dealsSalesfreeShipping,0,2,
111,discount,0.05,2,指定支付方式的商品结算折扣率
112,uploadAndDisplayMongoDBFilePath,http://49.213.13.11/abc/,1,
113,smsSendFrom,Goods.ph,1,
114,smsMaxSendNums,5,2,
115,smsExpireTime,60,2,
116,smsServiceUrl,https://api.infobip.com,1,
117,consigneeRegion,"986,879,868,899,303",1,指定的委托地址
118,gcStartTime,2016/5/11,1,
119,gcEndTime,2016/6/16,1,
